,0
0,1.864441
1,0.170084
2,0.134387
3,-0.830266
4,2.441868
5,2.265913
6,-1.109372
7,-2.050668
8,-0.923988
9,2.914511
10,1.166947
11,2.796417
12,1.811425
13,1.585138
14,-0.579667
15,-0.311808
16,-0.007744
17,1.215617
18,1.388281
19,-1.895279
20,2.893875
21,-0.946215
22,-2.384119
23,1.880644
24,-0.938583
25,-2.756529
26,1.18277
27,-0.137548
28,2.103792
29,-0.417794
30,1.31369
31,0.010388
32,0.833831
33,2.076603
34,2.309365
35,-1.047802
36,0.3696
37,2.791253
38,0.310777
39,-1.552218
40,3.073614
41,-0.123866
42,2.786668
43,0.226592
44,-2.875834
45,2.25709
46,1.663875
47,-0.765748
48,0.856229
49,-1.445255
50,-0.978243
51,-1.900603
52,1.320898
53,1.952723
54,-0.775719
55,-0.133487
56,2.398496
57,3.504834
58,3.036703
59,-1.40596
60,0.436145
61,-1.125682
62,-2.074556
63,0.392178
64,3.526168
65,-0.33775
66,-1.654707
67,-1.091647
68,-0.743018
69,-0.805418
70,2.876965
71,1.190393
72,1.247111
73,-0.584236
74,1.190485
75,1.753619
76,2.122168
77,1.191181
78,-0.622136
79,-1.129892
80,-1.323554
81,1.892256
82,2.721469
83,2.828139
84,1.285634
85,0.555828
86,2.201639
87,2.157627
88,-1.25957
89,0.421632
90,-0.535335
91,-0.597342
92,1.702987
93,1.810733
94,-0.408745
95,2.214962
96,0.819808
97,1.658399
98,0.926914
99,3.460665
100,1.798956
101,-0.026186
102,0.266908
103,2.168223
104,0.237114
105,1.458353
106,2.295297
107,-1.693249
108,1.837924
109,0.797548
110,2.003634
111,0.809151
112,-1.883261
113,-2.68383
114,-2.42814
115,1.360869
116,-0.281278
117,0.698873
118,-1.666477
119,0.964169
120,-1.11429
121,-0.834615
122,-1.711255
123,-3.796162
124,1.26163
125,0.274588
126,0.352319
127,-0.906429
128,1.291102
129,0.150376
130,2.013521
131,2.093921
132,2.987341
133,4.434983
134,0.909947
135,2.011394
136,-1.468071
137,0.342008
138,-0.739827
139,1.507938
140,-0.937211
141,1.097516
142,2.303535
143,0.654916
144,0.320048
145,0.741906
146,0.387639
147,1.169262
148,1.361583
149,-0.96756
150,1.946056
151,-2.253098
152,-1.224585
153,0.844435
154,-0.005757
155,0.691051
156,-1.648826
157,2.831137
158,3.032162
159,1.94495
160,2.045673
161,-0.874567
162,0.923698
163,0.154271
164,-0.406201
165,3.277832
166,-1.739275
167,2.308598
168,1.009194
169,-0.317195
170,1.257739
171,0.792249
172,0.306017
173,1.289967
174,2.299426
175,-1.026201
176,-1.661578
177,1.292935
178,3.101423
179,2.716836
180,0.735188
181,0.963093
182,-1.084824
183,-0.55499
184,1.537443
185,0.640888
186,1.776532
187,0.024227
188,-1.253353
189,0.674444
190,0.393154
191,-2.569454
192,-1.288538
193,1.212972
194,2.756991
195,-0.584138
196,1.385998
197,0.563848
198,-1.308541
199,0.586741
200,1.018134
201,2.006772
202,3.447148
203,0.939575
204,-0.350444
205,0.054511
206,0.966455
207,0.520108
208,1.649357
209,1.370264
210,-0.183901
211,1.215602
212,-1.360492
213,-0.381995
214,-0.835999
215,-0.657157
216,2.168459
217,1.308627
218,1.347568
219,-0.595079
220,2.707914
221,1.299031
222,1.584548
223,2.030319
224,0.490475
225,1.640968
226,0.610536
227,2.570916
228,-1.316953
229,-0.838463
230,2.967749
231,1.214928
232,1.096729
233,0.92983
234,2.726558
235,-0.975912
236,2.581294
237,3.828662
238,3.213765
239,-0.616005
240,0.994808
241,-2.838746
242,2.976296
243,2.436488
244,1.73639
245,3.106379
246,-2.024833
247,1.452802
248,1.367056
249,0.900913
250,1.761249
251,-0.976021
252,1.126132
253,2.487688
254,-1.438853
255,-0.39632
256,1.470543
257,0.602538
258,-0.590526
259,1.113012
260,-1.293764
261,-0.616033
262,2.894475
263,2.371319
264,-1.080457
265,2.198277
266,2.419039
267,-0.341758
268,2.41174
269,-0.041534
270,1.756463
271,0.607815
272,1.20621
273,1.959412
274,-0.730699
275,-0.442307
276,-0.051293
277,1.913417
278,-1.513231
279,1.939286
280,-2.119105
281,1.405056
282,2.163088
283,-2.310121
284,0.122677
285,1.262803
286,0.742502
287,0.233384
288,-1.490862
289,-2.024734
290,2.354737
291,2.388638
292,-0.880337
293,0.661415
294,2.124357
295,3.692705
296,0.801127
297,1.670687
298,1.934956
299,1.369321
300,-1.58212
301,1.85129
302,1.28034
303,2.660442
304,1.060396
305,1.884028
306,-2.85014
307,-1.410257
308,1.270401
309,-0.204613
310,1.121272
311,1.292518
312,-0.972553
313,-0.748462
314,1.54213
315,2.507418
316,1.378154
317,-0.273606
318,0.916458
319,-2.00308
320,0.591089
321,0.179376
322,0.827224
323,1.550265
324,-2.187375
325,2.260474
326,1.154211
327,1.558674
328,-0.446929
329,-1.991136
330,1.875641
331,2.621288
332,-0.635124
333,1.137979
334,2.007372
335,1.56129
336,0.165702
337,-2.433075
338,-1.655185
339,-2.604063
340,2.389063
341,-1.63345
342,-0.966367
343,-2.915875
344,-0.42875
345,-0.224471
346,0.391848
347,1.27208
348,-1.647489
349,1.243904
350,-1.129965
351,-0.444519
352,1.392063
353,-1.872808
354,0.49614
355,1.609346
356,-0.684775
357,-1.124417
358,1.197942
359,1.580154
360,2.462308
361,0.944357
362,0.187169
363,0.991009
364,1.802322
365,3.45505
366,0.741886
367,1.551306
368,1.657082
369,1.781475
370,1.241472
371,0.863244
372,-0.536637
373,1.289098
374,1.53832
375,-0.19416
376,2.227144
377,1.857474
378,0.4061
379,-0.4375
380,1.251488
381,1.339255
382,2.043261
383,1.493787
384,1.318985
385,1.121538
386,-2.467266
387,2.610837
388,1.314951
389,1.287174
390,0.809495
391,-0.439362
392,1.512756
393,-0.72353
394,-0.985097
395,0.877176
396,1.566691
397,1.125761
398,-0.499708
399,-0.132111
